run,NOME,NO_BOG,BOG_CTE,BOG_VAR,LOCK_POLICY,CAPCOST,CAPCOST_VALUE,SOLVER,CAPCOST_TAX,CAPCOST_PRICE,CAPCOST_version
1,Cen1,True,False,False,False,False,,CPLEX_CMD,0.0003638248528394,812,V2
2,Cen1,False,True,False,False,False,,CPLEX_CMD,0.0003638248528394,812,V2
3,Cen1,False,True,False,True,False,,CPLEX_CMD,0.0003638248528394,812,V2
4,Cen1,False,False,True,False,False,,CPLEX_CMD,0.0003638248528394,812,V2
5,Cen1,False,False,True,True,False,,CPLEX_CMD,0.0003638248528394,812,V2
6,Cen1,True,False,False,False,True,,CPLEX_CMD,0.0003638248528394,812,V1
7,Cen1,True,False,False,True,True,,CPLEX_CMD,0.0003638248528394,812,V1
8,Cen1,True,False,False,False,True,,CPLEX_CMD,0.0005547647074928,812,V1
9,Cen1,True,False,False,True,True,,CPLEX_CMD,0.0005547647074928,812,V1
10,Cen1,True,False,False,False,True,,CPLEX_CMD,0.0003638248528394,812,V2
11,Cen1,True,False,False,True,True,,CPLEX_CMD,0.0003638248528394,812,V2
12,Cen1,False,False,True,False,True,,CPLEX_CMD,0.0003638248528394,812,V2
13,Cen1,False,False,True,True,True,,CPLEX_CMD,0.0003638248528394,812,V2
14,Cen1,False,False,True,False,True,,CPLEX_CMD,0.0003638248528394,812,V1
15,Cen1,False,False,True,True,True,,CPLEX_CMD,0.0003638248528394783,812,V1
16,Cen1,False,False,True,False,False,,CPLEX_CMD,0.0003638248528394,812,V1
20,Cen1,True,False,False,False,False,,CPLEX_CMD,0.0003638248528394,812,V2
21,Cen1,True,False,False,False,False,,CPLEX_CMD,0.0003638248528394,812,V2
